epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,7276.96,0.50406,0.38779,0.88308,0.89427,0.70378,0.78376,0.6442,0.5459,0.45457,0.90554,0.00030606,0.00030606,0.00030606
69,7368.04,0.49698,0.37975,0.87725,0.90084,0.70986,0.7863,0.64837,0.53531,0.44139,0.89622,0.000297061,0.000297061,0.000297061
70,7459.01,0.50365,0.38451,0.88199,0.92729,0.69571,0.78563,0.64989,0.53687,0.44319,0.89603,0.000288062,0.000288062,0.000288062
71,7550.46,0.49231,0.37606,0.87688,0.89728,0.71374,0.78064,0.6473,0.52117,0.44992,0.89487,0.000279063,0.000279063,0.000279063
72,7640.65,0.47998,0.36192,0.87342,0.90709,0.70225,0.78003,0.64731,0.53572,0.45367,0.90138,0.000270064,0.000270064,0.000270064
73,7737.35,0.48499,0.36556,0.8723,0.88005,0.71023,0.77898,0.64975,0.5261,0.45047,0.89753,0.000261065,0.000261065,0.000261065
74,7834.73,0.47748,0.36978,0.8787,0.88712,0.71536,0.77736,0.64806,0.52302,0.43687,0.89406,0.000252066,0.000252066,0.000252066
75,7929.95,0.48295,0.37041,0.8766,0.89189,0.71845,0.78328,0.6488,0.52377,0.44248,0.90022,0.000243067,0.000243067,0.000243067
76,8034.34,0.47991,0.36335,0.87101,0.89766,0.70716,0.78103,0.64867,0.52635,0.44512,0.90331,0.000234068,0.000234068,0.000234068
77,8129.66,0.4766,0.36225,0.87005,0.91882,0.70205,0.78572,0.65507,0.52564,0.44604,0.90161,0.000225068,0.000225068,0.000225068
78,8222.44,0.46883,0.35634,0.87101,0.92268,0.70674,0.78199,0.65266,0.50985,0.44506,0.89416,0.000216069,0.000216069,0.000216069
